step,train_loss_step,epoch,val_macro_iou,val_micro_f1,val_loss,val_macro_f1,val_macro_accuracy,val_micro_iou,val_micro_dice,val_micro_accuracy,val_macro_dice,train_loss_epoch
49,0.6017364263534546,0,,,,,,,,,,
99,0.5724654197692871,0,,,,,,,,,,
109,,0,0.5098147392272949,0.7489979863166809,0.6596372723579407,0.6457487344741821,0.6398853063583374,0.5987184047698975,0.7489979863166809,0.7489979863166809,0.6457487940788269,
109,,0,,,,,,,,,,0.7614595293998718
149,0.4323490262031555,1,,,,,,,,,,
199,0.4055611789226532,1,,,,,,,,,,
219,,1,0.5971965193748474,0.8164862394332886,0.49233585596084595,0.7192760705947876,0.7062962055206299,0.6898832321166992,0.8164862394332886,0.8164862394332886,0.7192760705947876,
219,,1,,,,,,,,,,0.5739761590957642
249,0.731792151927948,2,,,,,,,,,,
299,0.4627733528614044,2,,,,,,,,,,
329,,2,0.6025276780128479,0.8155880570411682,0.48623430728912354,0.7262760400772095,0.7136073112487793,0.6886016726493835,0.8155880570411682,0.8155880570411682,0.7262760400772095,
329,,2,,,,,,,,,,0.5103484988212585
349,0.4594356119632721,3,,,,,,,,,,
399,0.622567892074585,3,,,,,,,,,,
439,,3,0.6363731622695923,0.8398011922836304,0.4277734160423279,0.7530244588851929,0.7396441698074341,0.723842442035675,0.8398011922836304,0.8398011922836304,0.7530245780944824,
439,,3,,,,,,,,,,0.46945756673812866
449,0.5406404137611389,4,,,,,,,,,,
499,0.47097131609916687,4,,,,,,,,,,
549,0.31452053785324097,4,,,,,,,,,,
549,,4,0.630233883857727,0.8366971611976624,0.4340395927429199,0.7478637099266052,0.7337288856506348,0.7192427515983582,0.8366971611976624,0.8366971611976624,0.7478637099266052,
549,,4,,,,,,,,,,0.4370804727077484
550,,5,0.6453152894973755,0.8455833196640015,0.40014639496803284,0.7606865167617798,0.7460123300552368,0.7324767112731934,0.8455833196640015,0.8455833196640015,0.7606865167617798,
